Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,anomaly_label,anomaly_score,cluster,pred_cluster,Alert_Type
53,146,2,2,70,102,35,35,35.0,0.0,51,51,51.0,0.0,1178082.19178082,27397.2602739726,48.6666666667,79.096986879,140,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,13698.6301369863,13698.6301369863,35,51,41.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,51.75,35.0,51.0,40,0,0,0,0,0,0,2,70,2,102,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.22964814860286997,,,
53,205,2,2,64,152,32,32,32.0,0.0,76,76,76.0,0.0,1053658.53658537,19512.1951219512,68.3333333333,79.7767718909,156,0,0,0.0,0.0,0,0,49,49.0,0.0,49,49,0,0,0,0,80,80,9756.0975609756,9756.0975609756,32,76,49.6,24.0997925302,580.8,0,0,0,0,0,0,0,0,1,62.0,32.0,76.0,80,0,0,0,0,0,0,2,64,2,152,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.22199585766077984,,,
80,5447453,3,1,12,0,6,0,4.0,3.4641016151,0,0,0.0,0.0,2.2028643478,0.7342881159,1815817.66666667,3100997.08108736,5396421,164,5447453,2723726.5,3779760.80997998,5396421,51032,0,0.0,0.0,0,0,0,0,0,0,72,32,0.5507160869,0.183572029,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,72,0,0,0,0,0,0,3,12,1,0,8192,29200,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.19109814766335642,,,
443,191640,10,15,1081,16327,517,0,108.1,205.6909494039,4380,0,1088.4666666667,1274.9062635945,90836.9860154456,130.4529325819,7985.0,12899.1364523906,39075,9,191499,21277.6666666667,22007.4420480891,69644,88,164010,11715.0,25900.4495862375,90049,40,0,0,0,0,212,312,52.1811730328,78.2717595492,0,4380,669.5384615385,1083.8654614211,1174764.33846154,0,0,0,1,0,0,0,0,1,696.32,108.1,1088.4666666667,212,0,0,0,0,0,0,10,1081,15,16327,8192,131,9,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.1320699819867156,,,
6373,2,2,0,2071,0,2065,6,1035.5,1455.932862,0,0,0.0,0.0,1040000000.0,1000000.0,2.0,0.0,2,2,2,2.0,0.0,2,2,0,0.0,0.0,0,0,1,0,0,0,40,0,1000000.0,0.0,6,2065,1378.666667,1188.764204,1413160.333,0,1,0,0,1,0,0,0,0,2068.0,1035.5,0.0,40,0,0,0,0,0,0,2,2071,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.019870664480693634,,,
53,79182,1,1,52,116,52,52,52.0,0.0,116,116,116.0,0.0,2121.6943244677,25.2582657675,79182.0,0.0,79182,79182,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,12.6291328837,12.6291328837,52,116,73.3333333333,36.9504172281,1365.3333333333,0,0,0,0,0,0,0,0,1,110.0,52.0,116.0,20,0,0,0,0,0,0,1,52,1,116,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.22415902489428013,,,
80,119883,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,100.0975951553,16.6829325259,119883.0,0.0,119883,119883,119883,119883.0,0.0,119883,119883,0,0.0,0.0,0,0,0,0,0,0,40,0,16.6829325259,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.21986909656811338,,,
53,95691,2,2,84,256,42,42,42.0,0.0,128,128,128.0,0.0,3553.1032176485,41.8012143253,31897.0,55201.3302647681,95638,3,3,3.0,0.0,3,3,50,50.0,0.0,50,50,0,0,0,0,40,64,20.9006071626,20.9006071626,42,128,76.4,47.1041399454,2218.8,0,0,0,0,0,0,0,0,1,95.5,42.0,128.0,40,0,0,0,0,0,0,2,84,2,256,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.2273824656051222,,,
88,380,2,2,356,358,178,178,178.0,0.0,179,179,179.0,0.0,1878947.36842105,10526.3157894737,126.6666666667,213.3315104089,373,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,5263.1578947369,5263.1578947369,178,179,178.4,0.5477225575,0.3,0,0,0,0,0,0,0,0,1,223.0,178.0,179.0,40,0,0,0,0,0,0,2,356,2,358,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.179261968225843,,,
443,185735,10,5,810,463,565,0,81.0,176.3928695964,325,0,92.6,142.9993006976,6853.8509166285,80.7602228982,13266.7857142857,19360.8878538411,55240,48,185735,20637.2222222222,24970.3444448499,55403,48,94066,23516.5,17108.1485750699,36781,737,0,0,0,0,332,168,53.8401485988,26.9200742994,0,565,79.5625,156.8493836987,24601.7291666667,0,0,0,1,0,0,0,0,0,84.8666666667,81.0,92.6,332,0,0,0,0,0,0,10,810,5,463,65535,349,5,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1,0.19282581276232186,,,
